safe,card_currency,recipient_address,recipient_label,recipient_class,asset,amount_out,usd_out,n_transfers,first_blk,last_blk,balance_before,balance_now,usd_balance_now
0xb0458a309fed6aecefc4cdd4d2b555b59386aa1f,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1017598356766283,126.65,1,46477405,46477405,1.074995512702695,0.0,0.0
0x1df0b44a632fdf0e848b3176c3ad6b8efe203bda,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,126.608796,126.61,1,46477496,46477496,126.608796,0.0,0.0
0xfa15609d9fb976255fd41f8da61e88404d020fad,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1006542735231395,126.53,1,46477397,46477397,1.00156495618337,0.0,0.0
0x2dc9ce7820a6c59204e61335c000e6030c0c6678,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1,126.45,1,46477495,46477495,1.1,0.0,0.0
0x2fba10427aeb42f243ab3e9cd3382ad7302fa293,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0991786262528218,126.36,1,46477468,46477468,1.0991786262528218,0.0,0.0
0x9d68d4f98c1bd8d308ea163cd33fe0b3380c0430,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0988702960773422,126.32,1,46477445,46477445,1.0950783791107255,0.0,0.0
0x0243497f8fcebff1d3c4a8ecdfce06160a638503,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0984042525175823,126.27,1,46477407,46477407,0.5171461326085338,0.0,0.0
0x5e6dd9161a3b2d9e145618e5cfa89b6c10aa1eeb,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,108.29382864988837,126.26,1,46477505,46477505,184.81382864988836,0.0,0.0
0x23377e54529b349bf33dccf82d7f4068fdad87f7,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0971586220769944,126.12,1,46477354,46477354,1.0971586220769944,0.0,0.0
0xd20870082f5862df72fc6e0937e4bdaa983c87b9,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,126.102716,126.1,1,46477496,46477496,126.102716,0.0,0.0
0x71c0272c289a9fd00b46337552b4cf8559686393,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,126.019237,126.02,1,46477428,46477428,126.019237,0.0,0.0
0x76dac3750d85f4b2995b33be5c77bf97b70c96fe,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.094730179938117,125.85,1,46477450,46477450,1.094730179938117,0.0,0.0
0x1078b90f7726666e33460ead6a16e159b1dabee2,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0937664811181393,125.73,1,46477482,46477482,1.018664422765098,0.0,0.0
0x939233261a7ad5ea8a422e5fef1e0cb17cc4e234,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,125.733842,125.73,1,46477496,46477496,125.733842,0.0,0.0
0xcec20abc6b15cddb613ffb92159aa026c48d080b,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.093183905897774,125.67,1,46477473,46477473,1.093183905897774,0.0,0.0
0x5855a24aac279ba24ee8b798e592521a339aba38,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,107.66336249620608,125.52,1,46477147,46477147,60.81002095902162,0.0,0.0
0x937ca8356d926ea10be1b1fb35515cb6ce8ef03a,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,125.505941,125.51,1,46477496,46477496,138.195941,0.0,0.0
0xdac984412fe62bd71c51178b36260faf90ed701e,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,125.48285,125.48,1,46477496,46477496,163.86285,0.0,0.0
0x1f2567b151bbe27abbda40d71782c0398212f159,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,107.59,125.44,1,46477425,46477425,113.83,0.0,0.0
0xae209e0855bb87b10b35ba2e6d1b287d18b09994,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0908317632132711,125.4,1,46477498,46477498,1.0908317632132711,0.0,0.0
